t,step,sym,C,E,rnorm,purity,S,detg,det_thr,reso_hit_freq,reso_hit_mag
10.638298,150,^,0.328653,0.450193,0.963396,0.964066,0.091354,3.991157548810e-08,3.719334491843e-08,,
10.709220,151,^,0.351003,0.458699,0.964583,0.965210,0.088982,4.042662589470e-08,3.767338704509e-08,,
10.780142,152,^,0.373776,0.466096,0.965771,0.966357,0.086586,4.087852351572e-08,3.773975456842e-08,,
10.851064,153,^,0.396915,0.472363,0.966960,0.967506,0.084167,4.128374018692e-08,3.694892048601e-08,,
10.921986,154,^,0.420366,0.477480,0.968151,0.968658,0.081722,4.165791864589e-08,3.575674044789e-08,,
10.992908,155,^,0.444071,0.481434,0.969344,0.969813,0.079252,4.201495798135e-08,3.567837502311e-08,,
11.063830,156,^,0.467972,0.484211,0.970537,0.970971,0.076756,4.236618626851e-08,3.560000959833e-08,,
11.134752,157,^,0.492010,0.485801,0.971733,0.972132,0.074231,4.271965695792e-08,3.561267726925e-08,,
11.205674,158,^,0.516128,0.486197,0.972929,0.973296,0.071678,4.307960080116e-08,3.815925836322e-08,,
11.276596,159,^,0.540266,0.485397,0.974128,0.974462,0.069095,4.344605897932e-08,3.949149477780e-08,,
11.347518,160,^,0.564363,0.483398,0.975327,0.975632,0.066481,4.381471587906e-08,4.072093642012e-08,,
11.418440,161,^,0.588362,0.480202,0.976529,0.976804,0.063833,4.417694191480e-08,4.166498094965e-08,,
11.489362,162,^,0.612202,0.475815,0.977731,0.977979,0.061152,4.452004823467e-08,4.449109641691e-08,,
11.560284,163,^,0.635824,0.470245,0.978935,0.979157,0.058434,4.482774641038e-08,4.477950259036e-08,,
11.631206,164,^,0.659169,0.463502,0.980141,0.980338,0.055677,4.508079764243e-08,4.759134145566e-08,,
11.702128,165,^,0.682180,0.455600,0.981348,0.981522,0.052881,4.525782795661e-08,4.790069031203e-08,,
11.773050,166,^,0.704798,0.446556,0.982557,0.982709,0.050041,4.533627865241e-08,4.795109052756e-08,,
11.843972,167,^,0.726968,0.436388,0.983767,0.983899,0.047156,4.529345518578e-08,5.000952037068e-08,,
11.914894,168,^,0.748632,0.425121,0.984978,0.985091,0.044221,4.510763298364e-08,5.206795021380e-08,,
11.985816,169,^,0.769738,0.412777,0.986191,0.986287,0.041233,4.475917559823e-08,5.235199678445e-08,,
12.056738,170,^,0.790230,0.399386,0.987406,0.987485,0.038188,4.423161925799e-08,5.384941017032e-08,,
