t,step,sym,C,E,rnorm,purity,S,detg,det_thr,reso_hit_freq,reso_hit_mag
35.744681,504,&,0.388362,0.518675,1.061106,1.062973,-0.031015,1.504985339802e-08,8.598473401318e-08,,
35.815603,505,&,0.388362,0.519001,1.061744,1.063650,-0.031344,1.353511934977e-08,8.609784000579e-08,,
35.886525,506,&,0.388362,0.519327,1.062382,1.064327,-0.031672,1.196874809542e-08,8.625796167558e-08,,
35.957447,507,&,0.388362,0.519654,1.063020,1.065006,-0.032001,1.037606944261e-08,8.681925544226e-08,,
36.028369,508,&,0.388362,0.519980,1.063659,1.065685,-0.032331,9.813381465373e-09,8.732496913935e-08,,
36.099291,509,&,0.388362,0.520307,1.064298,1.066365,-0.032660,9.239776866309e-09,8.733887668892e-08,,
36.170213,510,&,0.388362,0.520634,1.064937,1.067046,-0.032990,8.659096907865e-09,8.736252007637e-08,,
36.241135,511,&,0.388362,0.520961,1.065577,1.067727,-0.033320,8.075274148979e-09,8.758429278628e-08,7.050,0.249398
36.312057,512,&,0.388362,0.521289,1.066217,1.068410,-0.033651,7.492269385223e-09,8.890571314101e-08,7.022,0.253392
36.382979,513,&,0.388362,0.521616,1.066858,1.069093,-0.033982,6.914010240756e-09,8.939801280049e-08,7.050,0.229867
36.453901,514,&,0.388362,0.521944,1.067499,1.069778,-0.034313,6.344332117544e-09,8.983635758137e-08,7.022,0.233925
36.524823,515,&,0.388362,0.522272,1.068141,1.070463,-0.034644,5.786922179950e-09,9.027154239718e-08,7.050,0.210484
36.595745,516,&,0.388362,0.522601,1.068783,1.071149,-0.034976,5.245267018341e-09,9.090836974713e-08,7.022,0.214698
36.666667,517,&,0.388362,0.522929,1.069426,1.071836,-0.035308,4.722604594115e-09,9.153649327173e-08,7.050,0.191443
36.737589,518,&,0.388362,0.523258,1.070068,1.072523,-0.035641,4.221881020866e-09,9.505412578864e-08,7.022,0.195906
36.808511,519,&,0.388362,0.523587,1.070712,1.073212,-0.035974,3.745712682825e-09,1.000465916082e-07,7.050,0.172937
36.879433,520,&,0.388362,0.523916,1.071356,1.073901,-0.036307,3.296354132641e-09,1.015289339566e-07,7.022,0.177740
36.950355,521,&,0.388362,0.524245,1.072000,1.074592,-0.036640,2.875672146733e-09,1.024488432049e-07,7.050,0.155155
37.021277,522,&,0.388362,0.524575,1.072644,1.075283,-0.036974,2.485126248308e-09,1.028300519094e-07,7.022,0.160385
37.092199,523,&,0.388362,0.524904,1.073289,1.075975,-0.037308,2.125755936518e-09,1.037584427192e-07,7.050,0.138279
37.163121,524,&,0.388362,0.525234,1.073935,1.076668,-0.037642,1.798174785783e-09,1.044836154773e-07,7.022,0.144020
37.234043,525,&,0.388362,0.525564,1.074581,1.077362,-0.037977,1.502571502720e-09,1.046780000808e-07,7.050,0.122483
37.304965,526,&,0.388362,0.525895,1.075227,1.078056,-0.038312,1.238717950326e-09,1.049442976773e-07,7.022,0.128814
37.375887,527,&,0.388362,0.526225,1.075873,1.078752,-0.038647,1.005984070643e-09,1.083750538824e-07,7.050,0.107931
37.446809,528,&,0.388362,0.526556,1.076521,1.079448,-0.038983,8.033595590836e-10,1.112694704302e-07,7.022,0.114927
37.517730,529,&,0.388362,0.526887,1.077168,1.080146,-0.039319,6.294820665837e-10,1.154986676738e-07,7.050,0.094777
37.588652,530,&,0.388362,0.527218,1.077816,1.080844,-0.039655,4.826716306178e-10,1.156066003153e-07,7.022,0.102505
37.659574,531,&,0.388362,0.527549,1.078465,1.081543,-0.039992,3.609709636581e-10,1.157458927501e-07,7.050,0.083160
37.730496,532,&,0.388362,0.527881,1.079113,1.082243,-0.040329,2.621911586081e-10,1.159062693644e-07,7.022,0.091681
37.801418,533,&,0.388362,0.528213,1.079763,1.082944,-0.040666,1.839623058414e-10,1.159142584562e-07,7.050,0.073206
37.872340,534,&,0.388362,0.528545,1.080412,1.083645,-0.041004,1.237884564201e-10,1.161827029387e-07,7.022,0.082573
37.943262,535,&,0.388362,0.528877,1.081062,1.084348,-0.041342,7.910631149651e-11,1.165083138093e-07,7.050,0.065024
38.014184,536,&,0.388362,0.529210,1.081713,1.085051,-0.041680,4.734696941681e-11,1.178504364200e-07,7.022,0.075283
38.085106,537,&,0.388362,0.529542,1.082364,1.085756,-0.042018,2.600002018941e-11,1.178102826392e-07,7.050,0.058708
38.156028,538,&,0.388362,0.529875,1.083015,1.086461,-0.042357,1.267924222583e-11,1.133227981870e-07,7.022,0.069894
38.226950,539,&,0.388362,0.530208,1.083667,1.087167,-0.042697,5.189129022748e-12,1.142097026342e-07,7.050,0.054331
38.297872,540,&,0.388362,0.530541,1.084319,1.087874,-0.043036,1.591454064244e-12,1.146437307355e-07,7.022,0.066472
38.368794,541,&,0.388362,0.530875,1.084972,1.088582,-0.043376,2.710709456939e-13,1.148555158371e-07,7.050,0.051951
38.439716,542,&,0.388362,0.531208,1.085625,1.089291,-0.043716,1.427356978897e-16,1.151736180467e-07,7.022,0.065062
38.510638,543,&,0.388362,0.531542,1.086278,1.090000,-0.044057,0.000000000000e+00,1.155202460700e-07,7.050,0.051603
38.581560,544,&,0.388362,0.531876,1.086932,1.090711,-0.044397,0.000000000000e+00,1.162037052075e-07,7.022,0.065691
38.652482,545,&,0.388362,0.532211,1.087587,1.091422,-0.044739,0.000000000000e+00,1.168577371040e-07,7.050,0.053304
38.723404,546,&,0.388362,0.532545,1.088242,1.092135,-0.045080,0.000000000000e+00,1.168993870743e-07,7.022,0.068365
38.794326,547,&,0.388362,0.532880,1.088897,1.092848,-0.045422,0.000000000000e+00,1.169410729454e-07,7.050,0.057052
38.865248,548,&,0.388362,0.533215,1.089552,1.093562,-0.045764,0.000000000000e+00,1.169752408521e-07,7.022,0.073070
38.936170,549,&,0.388362,0.533550,1.090208,1.094277,-0.046106,0.000000000000e+00,1.170094413250e-07,7.050,0.062822
39.007092,550,&,0.388362,0.533885,1.090865,1.094993,-0.046449,0.000000000000e+00,1.170367900884e-07,7.022,0.079772
39.078014,551,&,0.388362,0.534221,1.091522,1.095710,-0.046792,0.000000000000e+00,1.170641688058e-07,7.050,0.070571
39.148936,552,&,0.388362,0.534557,1.092179,1.096428,-0.047136,0.000000000000e+00,1.170852149276e-07,7.022,0.088419
39.219858,553,&,0.388362,0.534893,1.092837,1.097146,-0.047480,0.000000000000e+00,1.171062890155e-07,7.050,0.080235
39.290780,554,&,0.388362,0.535229,1.093495,1.097866,-0.047824,0.000000000000e+00,1.171214213096e-07,7.022,0.098937
39.361702,555,&,0.388362,0.535565,1.094154,1.098586,-0.048168,0.000000000000e+00,1.171365801338e-07,7.050,0.091732
39.432624,556,&,0.388362,0.535902,1.094813,1.099308,-0.048513,0.000000000000e+00,1.171460734580e-07,7.022,0.111235
39.503546,557,&,0.388362,0.536239,1.095473,1.100030,-0.048858,0.000000000000e+00,1.171555923763e-07,7.050,0.104961
39.574468,558,&,0.388362,0.536576,1.096133,1.100753,-0.049203,0.000000000000e+00,1.171701850290e-07,7.022,0.125204
39.645390,559,&,0.388362,0.536913,1.096793,1.101477,-0.049549,0.000000000000e+00,1.172228631416e-07,7.050,0.119803
39.716312,560,&,0.388362,0.537251,1.097454,1.102202,-0.049895,0.000000000000e+00,1.178211481014e-07,7.022,0.140715
39.787234,561,&,0.388362,0.537588,1.098115,1.102928,-0.050242,0.000000000000e+00,1.191919696624e-07,7.050,0.136124
39.858156,562,&,0.388362,0.537926,1.098777,1.103655,-0.050588,0.000000000000e+00,1.200239502123e-07,7.022,0.157628
39.929078,563,&,0.388362,0.538264,1.099439,1.104383,-0.050935,0.000000000000e+00,1.203053997097e-07,7.050,0.153772
40.000000,564,&,0.388362,0.538603,1.100101,1.105112,-0.051283,0.000000000000e+00,1.212863543402e-07,7.022,0.175783
40.070922,565,&,0.388362,0.538941,1.100764,1.105841,-0.051631,0.000000000000e+00,1.215569722107e-07,7.050,0.172583
40.141844,566,&,0.388362,0.539280,1.101428,1.106572,-0.051979,0.000000000000e+00,1.217509071046e-07,7.022,0.195012
40.212766,567,&,0.388362,0.539619,1.102092,1.107303,-0.052327,0.000000000000e+00,1.227370276607e-07,7.050,0.192382
40.283688,568,&,0.388362,0.539958,1.102756,1.108035,-0.052676,0.000000000000e+00,1.288432379412e-07,7.022,0.215131
40.354610,569,&,0.388362,0.540297,1.103421,1.108769,-0.053025,0.000000000000e+00,1.358771847872e-07,7.022,0.212995
40.425532,570,&,0.388362,0.540637,1.104086,1.109503,-0.053374,0.000000000000e+00,1.379217657174e-07,7.022,0.235950
40.496454,571,&,0.388362,0.540977,1.104751,1.110238,-0.053724,0.000000000000e+00,1.406282845892e-07,7.022,0.234305
40.567376,572,&,0.388362,0.541317,1.105417,1.110974,-0.054074,0.000000000000e+00,1.430157583941e-07,7.050,0.257354
40.638298,573,&,0.388362,0.541657,1.106084,1.111711,-0.054424,0.000000000000e+00,1.449083559748e-07,7.022,0.256020
40.709220,574,&,0.388362,0.541998,1.106751,1.112449,-0.054775,0.000000000000e+00,1.461398870726e-07,7.050,0.279080
40.780142,575,&,0.388362,0.542338,1.107418,1.113187,-0.055126,0.000000000000e+00,1.482845110186e-07,7.022,0.249290
40.851064,576,&,0.388362,0.542679,1.108086,1.113927,-0.055478,0.000000000000e+00,1.513301947463e-07,7.050,0.257947
40.921986,577,&,0.388362,0.543020,1.108754,1.114668,-0.055829,0.000000000000e+00,1.542702515756e-07,7.022,0.228324
40.992908,578,&,0.388362,0.543362,1.109423,1.115409,-0.056181,0.000000000000e+00,1.552828814408e-07,7.050,0.236938
41.063830,579,&,0.388362,0.543703,1.110092,1.116152,-0.056534,0.000000000000e+00,1.582147651282e-07,7.022,0.207596
41.134752,580,&,0.388362,0.544045,1.110761,1.116895,-0.056887,0.000000000000e+00,1.608095091473e-07,7.050,0.216264
41.205674,581,&,0.388362,0.544387,1.111431,1.117640,-0.057240,0.000000000000e+00,1.617008484057e-07,7.022,0.187316
41.276596,582,&,0.388362,0.544729,1.112102,1.118385,-0.057593,0.000000000000e+00,1.630792589454e-07,7.050,0.196134
41.347518,583,&,0.388362,0.545071,1.112773,1.119131,-0.057947,0.000000000000e+00,1.661646083468e-07,7.022,0.167692
41.418440,584,&,0.388362,0.545414,1.113444,1.119879,-0.058301,0.000000000000e+00,1.685010781215e-07,7.050,0.176754
41.489362,585,&,0.388362,0.545757,1.114116,1.120627,-0.058655,0.000000000000e+00,1.685010781215e-07,7.022,0.148926
41.560284,586,&,0.388362,0.546100,1.114788,1.121376,-0.059010,0.000000000000e+00,1.682486132512e-07,7.050,0.158320
41.631206,587,&,0.388362,0.546443,1.115460,1.122126,-0.059365,0.000000000000e+00,1.708085521541e-07,7.022,0.131214
41.702128,588,&,0.388362,0.546786,1.116133,1.122877,-0.059721,0.000000000000e+00,1.712322085307e-07,7.050,0.141023
41.773050,589,&,0.388362,0.547130,1.116807,1.123629,-0.060077,0.000000000000e+00,1.718074612099e-07,7.022,0.114741
41.843972,590,&,0.388362,0.547474,1.117481,1.124382,-0.060433,0.000000000000e+00,1.734680093961e-07,7.050,0.125042
41.914894,591,&,0.388362,0.547818,1.118155,1.125135,-0.060789,0.000000000000e+00,1.743515978000e-07,7.022,0.099684
41.985816,592,&,0.388362,0.548163,1.118830,1.125890,-0.061146,0.000000000000e+00,1.743515978000e-07,7.050,0.110546
42.056738,593,&,0.388362,0.548507,1.119505,1.126646,-0.061503,0.000000000000e+00,1.756226145062e-07,7.022,0.086204
42.127660,594,&,0.388362,0.548852,1.120181,1.127403,-0.061861,0.000000000000e+00,1.782804241465e-07,7.050,0.097688
42.198582,595,&,0.388362,0.549197,1.120857,1.128160,-0.062219,0.000000000000e+00,1.772048814302e-07,7.022,0.074450
42.269504,596,&,0.388362,0.549542,1.121533,1.128919,-0.062577,0.000000000000e+00,1.785235149219e-07,7.050,0.086606
42.340426,597,&,0.388362,0.549887,1.122211,1.129678,-0.062935,0.000000000000e+00,1.797855608797e-07,7.022,0.064550
42.411348,598,&,0.388362,0.550233,1.122888,1.130439,-0.063294,0.000000000000e+00,1.809571985749e-07,7.050,0.077421
42.482270,599,&,0.388362,0.550579,1.123566,1.131200,-0.063653,0.000000000000e+00,1.822095348485e-07,7.022,0.056616
